"ID","Description","Type","Category","Reference","Year","DOI","Lower moisture","Higher moisture","Fixed carbon","Volatile matter","Ash","HHV","LHV","Cellulose","Hemicellulose","Lignin","C","H","O","N","S","Cl","SiO2","CaO","Al2O3","Fe2O3","Na2O","K2O","MgO","P2O5","TiO2","SO3","Cr2O3"
"Pine0","Pine sawdust","Biomass","Wood","Pinto et al.",2003,"10.1016/S0016-2361(03)00160-1",11.6,,13.6,74.5,0.3,20.19,,,,,51.6,4.9,42.6,0.9,,,,,,,,,,,,,
"Pine1","Pine sawdust","Biomass","Wood","Wander et al.",2004,"10.1016/j.biombioe.2004.04.003",11.78,,13.22,86.44,0.35,20.4,18.98,,,,51.455,6.1,41.845,0.255,0.01,0.01,,,,,,,,,,,
"Pine2","Pine sawdust","Biomass","Wood","Baratieri et al.",2008,"10.1016/j.biortech.2008.01.006",9.4,,,,0.9,,16.4,,,,45.2,5.4,39,0.1,,,,,,,,,,,,,
"PineChips","Mixing pine chips","Biomass","Wood","Pan et al.",2000,"10.1016/S0016-2361(99)00258-6",8,,21.4,77.4,1.2,,,,,,44,5.2,34.3,0.5,0.1,,,,,,,,,,,,
"Pittsburgh0","Pittsburgh high-volatile bituminous coal","Coal",,"Li et al.",2001,"10.1016/S0016-2361(00)00074-0",1.9,,49.3,40.6,8.2,30.8,,,,,73.1,4.8,7.3,1.3,3.4,,,,,,,,,,,,
"Pittsburgh1","Pittsburgh subbituminous coal","Coal","Subbituminous","Brar",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poplar","Poplar sawdust","Biomass","Wood","Baratieri et al.",2008,"10.1016/j.biortech.2008.01.006",10,,,,3.9,,15.5,,,,43.1,5.1,37.7,0.2,,,,,,,,,,,,,
"PS","Pine and spruce whitewood mix","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",10.1,,,,3.34,21.1,,,,,49.1,7.26,39.5,0.25,0.5,,,,,,,,,,,,
"PS2","Pine sawdust","Biomass","Wood","Li et al.",2010,"10.1016/j.ijhydene.2009.04.046",9.91,,14.91,73.63,1.55,16.29,,,,,45.39,4.02,38.1,0.62,0.41,,,,,,,,,,,,
"Quercus","Quercus acutissima sawdust","Biomass","Wood","Seo et al.",2010,"10.1021/ef100204s",2.29,,19.94,77.01,0.76,19.88,,,,,48.89,6.44,44.22,0.13,0.32,,60.6,10.93,16.4,5.98,3.99,2.93,0,,,,
"RiceHusk","Rice husk","Biomass","Agricultural","Hoffmann",1999,"hdl.handle.net/10183/11967",12,,13.6,67.8,18.6,15.491,,,,,38.3,4,38.6,0.5,0.08,0.12,94.48,0.97,0.21,0.22,0.16,2.29,0.19,0.54,0.02,0.92,
"RiceStrawB","Rice straw from Shanxi Province in China","Biomass","Straw","Song et al.",2013,"10.1016/j.fuproc.2013.03.045",4.37,,19.91,80.09,14.12,,13.98,,,,45.91,2.88,48.5,0.93,1.78,,,,,,,,,,,,
"RS","Rice straw","Biomass","Straw","Li et al.",2010,"10.1016/j.ijhydene.2009.04.046",5.58,,16.55,65.23,12.64,14.4,,,,,38.61,4.28,37.16,1.08,0.65,,,,,,,,,,,,
"SaberoCoal","Refuse coal from Sabero in Spain","Coal",,"Pan et al.",2000,"10.1016/S0016-2361(99)00258-6",8,,14.9,10.9,74.2,,,,,,16.8,1.5,3.7,0.6,1.3,,,,,,,,,,,,
"SMC","Shenmu coal","Coal",,"Li et al.",2010,"10.1016/j.ijhydene.2009.04.046",3.78,,58.52,28.51,9.19,28.22,,,,,70.35,4.56,10.53,1.04,0.55,,,,,,,,,,,,
"SPF","Spruce pine and fir mixed sawdust","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",10,,,,0.7,19.8,,,,,50.4,6.25,41.6,0.62,0.34,,,,,,,,,,,,
"Switchgrass","Switchgrass","Biomass","Grass","Carpenter et al.",2010,"10.1021/ie900595m",8.38,,16,76,8,18.04,,,,,42.6,4.9,36,0.6,0.08,0.17,62.4,11.2,1.79,0.92,0.87,10.6,3.47,4.19,0.09,0.92,
"Tectona","Tectona grandis wood","Biomass","Wood","Fuwape",1993,"10.1007/BF00705232",24.55,,,,0.79,13.96,,,,,41.78,6.14,50.29,0.57,0.45,,,,,,,,,,,,
"Vermont","Vermont wood","Biomass","Wood","Carpenter et al.",2010,"10.1021/ie900595m",4.56,,14.2,85.4,0.4,19.45,,,,,51.8,5.9,37.2,0.1,0.03,0.01,17.7,28.7,2.48,2.3,1.36,19.9,6.6,2.81,0.13,0.9,
"Wheat","Wheat straw","Biomass","Straw","Carpenter et al.",2010,"10.1021/ie900595m",5.18,,15.7,71.6,12.7,16.75,,,,,48.3,5.3,28.8,0.3,0.09,0.64,65.1,3.58,1.32,0.89,0.85,16.7,1.57,5.21,0.18,1.16,
"CH4","Methane","Hydrocarbon",,,,,0,0,0,0,0,,50,,,,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Average","Average sawdust","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",15,,,,1.14,20.6,,,,,50.9,6.6,40.5,0.51,0.34,,,,,,,,,,,,
"GroundCornSeed","Discarded corn seed","Biomass","Agricultural","Timmer",2008,,11.2,13.1,11.77,86.44,1.79,,,,,,48.91,5.95,41.46,1.73,0.16,0.01,9.25,2.67,2.03,0.89,0.18,29,12.3,38.07,0.04,0.58,
"PineSawdust","Local timber mill pine sawdust","Biomass","Wood","Nikoo",2007,,8,,17.16,82.29,0.55,20.54,,,,,50.54,7.08,41.11,0.15,0.57,,,,,,,,,,,,
